display_name,centroid_lat,centroid_long,radius
Portsmouth,50.820428,-1.076580,4.231000
Edinburgh City Centre,55.951811,-3.194043,2.543000
Purley,51.334686,-0.114192,1.275000
Inverleith,55.969081,-3.206948,0.539000
Lisvane,51.538934,-3.177827,0.625000
Bordesley Green,52.478153,-1.844356,1.886000
Gamston,52.925911,-1.103403,0.442000
Broughton,55.961330,-3.189910,0.625000
Garnethill,55.867297,-4.263449,0.327000
Hyde Park,51.511008,-0.148989,0.825000
Butetown,51.468544,-3.167780,0.547000
Streatham Common,51.418804,-0.130549,0.976000
Charlton,51.483661,0.036578,1.504000
Montpelier,51.465957,-2.584740,0.471000
Oxgangs,55.907328,-3.224079,0.545000
Trafford,53.449557,-2.304475,6.118000
Bramley,53.809078,-1.630232,1.995000
Saltley,52.489316,-1.852293,0.750000
Birmingham City Centre,52.477684,-1.903863,1.520000
Lenton,52.951586,-1.172841,0.883000
West End,55.948563,-3.212717,0.962000
Putney,51.457616,-0.218133,2.273000
Stepps,55.889242,-4.146940,1.521000
Toxteth,53.391089,-2.960122,1.528000
Kelvindale,55.889238,-4.306125,0.911000
Stanmore,51.608578,-0.307538,1.409000
Liberton,55.910311,-3.157394,1.576000
Reddish,53.442128,-2.158364,1.863000
Leytonstone,51.565213,0.002801,1.436000
Aspley,52.976954,-1.202843,1.109000
Borehamwood,51.657526,-0.273682,1.329000
Stockwood,51.414319,-2.546358,0.882000
Stockwell,51.471337,-0.118575,0.951000
Witton,52.511511,-1.878615,0.332000
Stenhouse,55.931662,-3.263244,0.722000
Edge Hill,53.404423,-2.953308,0.797000
Kelvingrove,55.865675,-4.286613,0.482000
Langside,55.824457,-4.268353,0.935000
East London,51.556077,0.019969,11.684000
Bobbersmill,52.964756,-1.178311,0.433000
Redbridge,51.573128,0.072786,2.623000
Horsforth,53.838116,-1.631349,1.713000
Colinton Mains,55.909193,-3.231604,0.371000
Angel,51.536315,-0.100152,1.398000
Aldgate,51.515303,-0.062065,0.939000
Donegall Road,54.587962,-5.950851,0.634000
Comiston,55.917010,-3.212158,0.799000
Shawlands,55.828726,-4.282233,0.854000
Corstorphine,55.942180,-3.286650,2.118000
Hornchurch,51.559271,0.211661,1.676000
South Norwood,51.397788,-0.075711,0.925000
Fulham,51.480299,-0.200180,1.674000
Staple Hill,51.479067,-2.507551,0.902000
York,53.991691,-1.049863,35.817000
West Bromwich,52.524756,-1.999345,2.705000
Crossgates,53.806946,-1.449810,1.398000
Victoria Park,51.483655,-3.220848,0.697000
New Cross,51.471999,-0.039914,1.258000
Holyrood,55.950968,-3.174529,0.748000
New Moston,53.518925,-2.172145,1.097000
Earls Court,51.488983,-0.192817,1.201000
Southwark,51.489686,-0.082035,2.019000
Mynachdy,51.501793,-3.200747,0.490000
Henleaze,51.486145,-2.605644,1.032000
Tyseley,52.451204,-1.840418,1.094000
Newton Mearns,55.774693,-4.328340,2.262000
Isle of Dogs,51.500247,-0.017916,1.183000
Isleworth,51.472202,-0.338444,1.281000
Llanrumney,51.521670,-3.121893,0.828000
Hyde Park,53.810524,-1.570160,0.727000
Ladybarn,53.437040,-2.211138,0.395000
Erskine,55.900003,-4.451813,2.020000
Tile Cross,52.479183,-1.763183,0.754000
Clayton,53.484839,-2.178093,0.814000
East Ham,51.533821,0.049311,1.491000
Mapperley,52.974380,-1.129139,2.137000
Uxbridge,51.534049,-0.461310,2.882000
Stoke Gifford,51.517275,-2.542309,0.929000
Shandon,55.933970,-3.230942,0.389000
Barnet,51.627981,-0.181167,3.325000
Bulwell,52.999776,-1.194424,1.710000
Withywood,51.407428,-2.618157,0.947000
Forest Hill,51.439728,-0.049355,1.048000
Gorton,53.461560,-2.172813,1.653000
Bearsden,55.915592,-4.333013,2.423000
Barking,51.540929,0.093398,2.683000
East End Park,53.793916,-1.512667,0.815000
Blackford,55.926940,-3.181219,0.682000
Five Ways,52.472656,-1.916512,0.631000
Clermiston,55.955225,-3.288665,0.669000
Linthouse,55.863088,-4.330865,0.225000
Scotstoun,55.879288,-4.351792,1.143000
Bicester,51.908764,-1.168388,8.704889
Spalding,52.795613,-0.069919,12.543293
Pontypridd,51.589052,-3.333819,5.481732
